charter,findrsLender,cert,Lender,match
14418,Peoples National Bank of Kewanee,926,Peoples National Bank of Kewanee,TRUE
25103,"People's United Bank, National Association",27334,"People's United Bank, National Association",TRUE
703367,Peru Federal Savings Bank,29384,Peru Federal Savings Bank,TRUE
700007,Piedmont Federal Savings Bank,27619,Piedmont Federal Savings Bank,TRUE
20493,Pike National Bank,26379,Pike National Bank,TRUE
15058,Pikes Peak National Bank,17782,Pikes Peak National Bank,TRUE
700450,Pioneer Bank,27872,Pioneer Bank,TRUE
21060,"Pioneer Trust Bank, National Association",19827,"Pioneer Trust Bank, National Association",TRUE
1316,"PNC Bank, National Association",6384,"PNC Bank, National Association",TRUE
706509,Ponce Bank,31189,Ponce Bank,TRUE
9924,Powell Valley National Bank,6863,Powell Valley National Bank,TRUE
708186,"Presidential Bank, FSB",32363,"Presidential Bank, FSB",TRUE
703235,Prevail Bank,29294,Prevail Bank,TRUE
17735,Progressive National Bank,24443,Progressive National Bank,TRUE
22905,Quantum National Bank,34110,Quantum National Bank,TRUE
708433,Radius Bank,32551,Radius Bank,TRUE
5886,Ramsey National Bank,3914,Ramsey National Bank,TRUE
15482,"Relyance Bank, National Association",19371,"Relyance Bank, National Association",TRUE
5815,"Resource Bank, National Association",3701,"Resource Bank, National Association",TRUE
704347,Riverview Community Bank,29922,Riverview Community Bank,TRUE
707794,Rollstone Bank & Trust,17797,Rollstone Bank & Trust,TRUE
701142,San Luis Valley Federal Bank,28208,San Luis Valley Federal Bank,TRUE
25022,"Santander Bank, National Association",29950,"Santander Bank, National Association",TRUE
21530,Saratoga National Bank and Trust Company,27290,Saratoga National Bank and Trust Company,TRUE
24150,"Schaumburg Bank & Trust Company, National Association",57103,"Schaumburg Bank & Trust Company, National Association",TRUE
14838,Seacoast National Bank,131,Seacoast National Bank,TRUE
24649,Seaside National Bank & Trust,58328,Seaside National Bank & Trust,TRUE
707228,Security Federal Savings Bank,31592,Security Federal Savings Bank,TRUE
702578,Security Federal Savings Bank,28894,Security Federal Savings Bank,TRUE
14578,Security First National Bank of Hugo,432,Security First National Bank of Hugo,TRUE
15379,Security National Bank of Omaha,19213,Security National Bank of Omaha,TRUE
23226,Security National Bank of South Dakota,34394,Security National Bank of South Dakota,TRUE
703552,Seneca Savings,29496,Seneca Savings,TRUE
12529,"Shamrock Bank, National Association",4236,"Shamrock Bank, National Association",TRUE
10834,Skyline National Bank,6861,Skyline National Bank,TRUE
9987,"SNB Bank, National Association",4196,"SNB Bank, National Association",TRUE
24737,Solera National Bank,58534,Solera National Bank,TRUE
22311,"South State Bank, National Association",33555,"South State Bank, National Association",TRUE
15651,Southeast First National Bank,19819,Southeast First National Bank,TRUE
704013,Southern Hills Community Bank,29749,Southern Hills Community Bank,TRUE
12346,Southwest National Bank,4801,Southwest National Bank,TRUE
23081,Southwestern National Bank,34319,Southwestern National Bank,TRUE
25211,"St. Charles Bank & Trust Company, National Association",27052,"St. Charles Bank & Trust Company, National Association",TRUE
15198,St. Martin National Bank,18937,St. Martin National Bank,TRUE
25200,"State Bank of the Lakes, National Association",5744,"State Bank of the Lakes, National Association",TRUE
15576,Stearns Bank National Association,10988,Stearns Bank National Association,TRUE
