cert,rssd,asset,charter,findrsLender,Lender,asset_cat
18136,2376558,76156,14882,First National Bank of Wauchula,First National Bank of Wauchula,Less than $1bn
5590,1102170,134485,5674,First National Bank of Winnsboro,First National Bank of Winnsboro,Less than $1bn
3285,1108097,2318660,5750,First National Bank Texas,First National Bank Texas,$1bn - 2.49bn
22046,1140190,136073,16473,First National Bank USA,First National Bank USA,Less than $1bn
1545,1202258,951946,10408,"First National Bank, Ames, Iowa","First National Bank Ames, Iowa",Less than $1bn
17872,NA,105615,14833,"First National Bank, Cortez","First National Bank, Cortez",Less than $1bn
3747,2558505,474213,13682,"First Neighbor Bank, National Association","First Neighbor Bank, National Association",Less than $1bn
3063,1062528,189894,8752,First Pioneer National Bank,First Pioneer National Bank,Less than $1bn
28105,2558194,344197,23393,"First Robinson Savings Bank, National Association","First Robinson Savings Bank, National Association",Less than $1bn
32629,4264387,878649,708547,First Savings Bank,First Savings Bank,Less than $1bn
29744,5371479,412609,703997,First Seacoast Bank,First Seacoast Bank,Less than $1bn
2700,1247987,907584,1493,First Southern National Bank,First Southern National Bank,Less than $1bn
13905,1141227,187752,14005,First Texoma National Bank,First Texoma National Bank,Less than $1bn
7886,2687601,264302,9480,First United National Bank,First United National Bank,Less than $1bn
31972,NA,60934,707674,First Western Federal Savings Bank,First Western Federal Savings Bank,Less than $1bn
35028,3121344,1729186,23681,"FirstCapital Bank of Texas, National Association","FirstCapital Bank of Texas, National Association",$1bn - 2.49bn
13599,1995998,294606,13934,First-Lockhart National Bank,First-Lockhart National Bank,Less than $1bn
32541,4224000,26767684,708412,"Flagstar Bank, FSB","Flagstar Bank, FSB",$10bn - 99.9bn
26323,3223828,522252,20214,"Florida Capital Bank, National Association","Florida Capital Bank, National Association",Less than $1bn
57415,3446346,1250131,24349,"Forcht Bank, National Association","Forcht Bank, National Association",$1bn - 2.49bn
15945,1203853,247059,14566,Forest Park National Bank and Trust Company,Forest Park National Bank and Trust Company,Less than $1bn
29188,NA,361000,703069,Fox Valley Savings Bank,Fox Valley Savings Bank,Less than $1bn
57254,1985131,126285,24257,Freedom National Bank,Freedom National Bank,Less than $1bn
7551,1117129,22780649,24891,"Fulton Bank, National Association","Fulton Bank, National Association",$10bn - 99.9bn
27774,NA,2488904,700257,Gate City Bank,Gate City Bank,$1bn - 2.49bn
16040,2912442,349599,718024,Generations Bank,Generations Bank,Less than $1bn
7074,1048812,2639917,7699,Glens Falls National Bank and Trust Company,Glens Falls National Bank and Trust Company,$2.5bn - 9.9bn
26223,NA,1071625,18558,"Golden Bank, National Association","Golden Bank, National Association",$1bn - 2.49bn
28735,3835230,239913,702253,"Golden Belt Bank, FSA","Golden Belt Bank, FSA",Less than $1bn
26881,2930419,141969,20862,"Golden Pacific Bank, National Association","Golden Pacific Bank, National Association",Less than $1bn
3674,4087830,211017,6684,Grand Ridge National Bank,Grand Ridge National Bank,Less than $1bn
59113,5215715,100250,25152,"Grasshopper Bank, National Association","Grasshopper Bank, National Association",Less than $1bn
34207,1060355,830077,23049,Great Plains National Bank,Great Plains National Bank,Less than $1bn
31198,NA,149920,706518,"Greeneville Federal Bank, FSB","Greeneville Federal Bank, FSB",Less than $1bn
27965,3828595,202222,700641,Greenville Federal,Greenville Federal,Less than $1bn
13703,1071566,491169,13944,Greenville National Bank,Greenville National Bank,Less than $1bn
1208,1862036,2391235,25053,"Guaranty Bank & Trust, National Association","Guaranty Bank & Trust, National Association",$1bn - 2.49bn
14399,1103494,72215,14149,Haskell National Bank,Haskell National Bank,Less than $1bn
18296,1142439,657352,14911,Hawaii National Bank,Hawaii National Bank,Less than $1bn
35052,2800482,431969,23773,Heartland National Bank,Heartland National Bank,Less than $1bn
29241,NA,107198,703155,Henderson Federal Savings Bank,Henderson Federal Savings Bank,Less than $1bn
29577,5110324,135315,703691,Heritage Bank of St. Tammany,Heritage Bank of St. Tammany,Less than $1bn
19254,2144739,402874,15401,"Heritage Bank, National Association","Heritage Bank, National Association",Less than $1bn
13058,4465559,253681,15698,Hiawatha National Bank,Hiawatha National Bank,Less than $1bn
19184,1054840,931209,15359,Hilltop National Bank,Hilltop National Bank,Less than $1bn
33849,2260406,3522482,25212,"Hinsdale Bank & Trust Company, National Association","Hinsdale Bank & Trust Company, National Association",$2.5bn - 9.9bn
29881,NA,334166,704255,Home Bank SB,"Home Bank, SB",Less than $1bn
28094,3851191,2243717,25106,"Home Bank, National Association","Home Bank, National Association",$1bn - 2.49bn
27654,4253121,463168,700057,Home Federal Bank,Home Federal Bank,Less than $1bn
29683,NA,2263890,703879,Home Federal Bank of Tennessee,Home Federal Bank of Tennessee,$1bn - 2.49bn
29042,2500719,783537,702818,Home Federal Savings Bank,Home Federal Savings Bank,Less than $1bn
27417,5278411,347091,712504,"Home Loan Investment Bank, F.S.B.","Home Loan Investment Bank, F.S.B.",Less than $1bn
32459,3816547,356386,708286,Homeland Federal Savings Bank,Homeland Federal Savings Bank,Less than $1bn
28667,NA,67524,718109,Homestead Savings Bank,Homestead Savings Bank,Less than $1bn
19603,1107522,639172,15593,"Hometown Bank, National Association","Hometown Bank, National Association",Less than $1bn
3691,1209323,241965,2503,Hometown National Bank,Hometown National Bank,Less than $1bn
57890,1857108,201885682,24522,"HSBC Bank USA, National Association","HSBC Bank USA, National Association",$100bn and above
3664,1208054,1183325,11443,"INB, National Association","INB, National Association",$1bn - 2.49bn
3342,2227481,178495,12190,"Incommons Bank, National Association","Incommons Bank, National Association",Less than $1bn
25258,NA,367518,18283,"Intercredit Bank, National Association","Intercredit Bank, National Association",Less than $1bn
25648,3444847,381917,718151,International City Bank,International City Bank,Less than $1bn
58316,4090054,2197542,25185,"Investar Bank, National Association","Investar Bank, National Association",$1bn - 2.49bn
19080,1134498,3032613,15292,Inwood National Bank,Inwood National Bank,$2.5bn - 9.9bn
628,1039502,2690959000,8,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",$100bn and above
15078,NA,71844,14330,Junction National Bank,Junction National Bank,Less than $1bn
26790,3400937,237227,20622,"KEB Hana Bank USA, National Association","KEB Hana Bank USA, National Association",Less than $1bn
17534,1068025,154993507,14761,KeyBank National Association,KeyBank National Association,$100bn and above
34456,5278372,222777,23183,"Keystone Bank, National Association","Keystone Bank, National Association",Less than $1bn
6616,2246400,384570,9536,Kingston National Bank,Kingston National Bank,Less than $1bn
3286,1104325,593825,12968,"Kleberg Bank, National Association","Kleberg Bank, National Association",Less than $1bn
27589,2260406,4696128,25149,"Lake Forest Bank & Trust Company, National Association","Lake Forest Bank & Trust Company, National Association",$2.5bn - 9.9bn
30530,3793086,628600,705506,Lake Shore Savings Bank,Lake Shore Savings Bank,Less than $1bn
23597,1136906,195156,17106,Lamar National Bank,Lamar National Bank,Less than $1bn
5826,3030307,985910,23038,Landmark National Bank,Landmark National Bank,Less than $1bn
6623,2759900,1633433,2360,LCNB National Bank,LCNB National Bank,$1bn - 2.49bn
57134,3439236,1911768,24131,"Leader Bank, National Association","Leader Bank, National Association",$1bn - 2.49bn
33418,3625123,566630,22210,Ledyard National Bank,Ledyard National Bank,Less than $1bn
57953,5070192,575627,24573,Legacy National Bank,Legacy National Bank,Less than $1bn
3108,1416578,788501,4265,"Legend Bank, National Association","Legend Bank, National Association",Less than $1bn
34073,2260406,1801658,25197,"Libertyville Bank & Trust Company, National Association","Libertyville Bank & Trust Company, National Association",$1bn - 2.49bn
24305,4575047,188923,17606,Llano National Bank,Llano National Bank,Less than $1bn
35015,NA,251566,23730,"Lone Star Capital Bank, National Association","Lone Star Capital Bank, National Association",Less than $1bn
24347,2325350,2362560,17611,Lone Star National Bank,Lone Star National Bank,$1bn - 2.49bn
